harness,model,variant,experiment,n_runs,tool_calls__delta,tool_calls__delta_ci,tool_calls__ratio,tool_calls__n,failed_calls__delta,failed_calls__delta_ci,failed_calls__ratio,failed_calls__n,error_recovery_calls__delta,error_recovery_calls__delta_ci,error_recovery_calls__ratio,error_recovery_calls__n,duplicate_commands__delta,duplicate_commands__delta_ci,duplicate_commands__ratio,duplicate_commands__n,repeated_reads__delta,repeated_reads__delta_ci,repeated_reads__ratio,repeated_reads__n,post_green_repeat_tests__delta,post_green_repeat_tests__delta_ci,post_green_repeat_tests__ratio,post_green_repeat_tests__n,post_success_calls__delta,post_success_calls__delta_ci,post_success_calls__ratio,post_success_calls__n,abandoned_exploration_calls__delta,abandoned_exploration_calls__delta_ci,abandoned_exploration_calls__ratio,abandoned_exploration_calls__n,tool_result_chars__delta,tool_result_chars__delta_ci,tool_result_chars__ratio,tool_result_chars__n,est_tool_result_tokens__delta,est_tool_result_tokens__delta_ci,est_tool_result_tokens__ratio,est_tool_result_tokens__n,induced_cost_lower_usd__delta,induced_cost_lower_usd__delta_ci,induced_cost_lower_usd__ratio,induced_cost_lower_usd__n,induced_cost_upper_usd__delta,induced_cost_upper_usd__delta_ci,induced_cost_upper_usd__ratio,induced_cost_upper_usd__n,context_growth_tokens__delta,context_growth_tokens__delta_ci,context_growth_tokens__ratio,context_growth_tokens__n,tool_wall_s__delta,tool_wall_s__delta_ci,tool_wall_s__ratio,tool_wall_s__n,wall_s__delta,wall_s__delta_ci,wall_s__ratio,wall_s__n,estimated_no_cache_cost_usd__delta,estimated_no_cache_cost_usd__delta_ci,estimated_no_cache_cost_usd__ratio,estimated_no_cache_cost_usd__n,reported_cost_usd__delta,reported_cost_usd__delta_ci,reported_cost_usd__ratio,reported_cost_usd__n,cat_test_execution__delta,cat_test_execution__delta_ci,cat_test_execution__ratio,cat_test_execution__n,cat_file_read__delta,cat_file_read__delta_ci,cat_file_read__ratio,cat_file_read__n,cat_file_search__delta,cat_file_search__delta_ci,cat_file_search__ratio,cat_file_search__n,cat_navigation__delta,cat_navigation__delta_ci,cat_navigation__ratio,cat_navigation__n,cat_code_edit__delta,cat_code_edit__delta_ci,cat_code_edit__ratio,cat_code_edit__n,tool_calls__perm_p,post_green_repeat_tests__perm_p,duplicate_commands__perm_p,abandoned_exploration_calls__perm_p,post_success_calls__perm_p,est_tool_result_tokens__perm_p,estimated_no_cache_cost_usd__perm_p
claude-code,moonshotai/Kimi-K2.7-Code,no_questions_autonomy,holdout_cc,9,3.0,"[-1.000,8.000]",1.429,9,3.0,"[-1.000,6.000]",1.5,9,3.0,"[-1.000,6.000]",1.571,9,3.0,"[0.000,8.000]",2.5,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[-1.000,0.000]",1.0,9,197.0,"[-79.000,211.000]",1.08,9,49.0,"[-20.000,53.000]",1.08,9,0.0003,"[-0.000,0.001]",1.883,9,0.001,"[-0.000,0.004]",2.036,9,171.0,"[-360.000,24338.000]",1.358,9,0.07,"[0.040,7.790]",1.5,9,1.13,"[-4.740,16.020]",1.112,9,0.0484,"[-0.019,0.074]",1.304,9,-0.0037,"[-0.024,0.018]",0.901,9,3.0,"[-1.000,7.000]",1.714,9,0.0,"[-1.000,1.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[-1.000,0.000]",0.0,9,0.0,"[0.000,0.000]",1.0,9,0.5031,1.0,0.5031,1.0,1.0,0.5031,1.0
claude-code,moonshotai/Kimi-K2.7-Code,no_questions_autonomy,pilot_b,4,7.5,"[7.500,12.000]",2.667,4,7.5,"[7.500,11.500]",5.143,4,7.0,"[7.000,11.000]",5.667,4,6.5,"[6.500,9.500]",9.333,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.5,"[0.500,0.500]",1.5,4,129.25,"[20.000,256.000]",1.01,4,32.5,"[5.000,64.500]",1.01,4,0.0008,"[0.001,0.002]",2.965,4,0.0036,"[0.004,0.012]",3.745,4,586.75,"[153.500,602.500]",1.251,4,0.175,"[0.140,0.175]",2.0,4,5.61,"[5.610,14.475]",1.62,4,0.0966,"[0.097,0.212]",2.127,4,0.0215,"[0.021,0.051]",1.977,4,5.5,"[5.500,7.500]",4.0,4,0.0,"[0.000,0.500]",1.067,4,0.0,"[0.000,0.500]",,4,-0.25,"[-0.500,0.500]",0.5,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,moonshotai/Kimi-K2.7-Code,no_questions_autonomy,screening_cc,12,2.0,"[0.250,4.000]",1.442,12,1.25,"[0.500,3.000]",1.75,12,1.25,"[0.500,3.500]",3.0,12,1.25,"[0.500,2.500]",3.0,12,0.0,"[-0.250,0.500]",0.0,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",,12,0.0,"[0.000,0.000]",1.5,12,60.0,"[-38.500,97.250]",1.081,12,15.5,"[-9.500,24.500]",1.082,12,0.0002,"[0.000,0.000]",1.493,12,0.001,"[0.000,0.002]",1.623,12,128.0,"[112.000,219.500]",1.318,12,0.01,"[-0.030,0.035]",1.079,12,5.97,"[5.375,8.562]",1.648,12,0.038,"[0.018,0.072]",1.406,12,0.0118,"[0.005,0.017]",1.486,12,1.25,"[0.500,2.250]",1.75,12,0.0,"[0.000,0.500]",1.0,12,0.0,"[0.000,0.000]",1.0,12,0.0,"[-0.500,0.000]",0.667,12,0.0,"[-0.750,0.000]",1.0,12,0.1216,1.0,0.1831,1.0,1.0,0.4396,0.1216
claude-code,moonshotai/Kimi-K2.7-Code,scoped_authorization,pilot_b,5,0.25,"[-0.500,0.500]",1.056,4,1.0,"[0.000,1.500]",1.571,4,0.5,"[-0.500,1.000]",1.5,4,1.0,"[0.000,1.500]",2.667,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,0.000]",,4,0.0,"[0.000,1.000]",2.0,4,-128.5,"[-205.000,-128.500]",0.826,4,-31.5,"[-51.000,-31.500]",0.828,4,-0.0001,"[-0.000,-0.000]",0.922,4,-0.0001,"[-0.000,0.000]",0.939,4,-404.75,"[-766.500,-90.500]",0.729,4,-0.0075,"[-0.030,0.000]",0.947,4,-2.0325,"[-4.965,-0.995]",0.792,4,-0.0045,"[-0.018,0.006]",0.978,4,-0.0003,"[-0.004,0.000]",0.99,4,0.5,"[-1.000,1.500]",1.429,4,-0.5,"[-0.500,0.500]",0.733,4,0.0,"[0.000,0.000]",,4,-0.25,"[-0.500,0.000]",0.5,4,0.0,"[0.000,0.000]",1.0,4,,,,,,,
claude-code,moonshotai/Kimi-K3,bounded_efficiency,kimi3_cc,2,36.0,"[36.000,36.000]",5.5,2,36.0,"[36.000,36.000]",10.0,2,36.0,"[36.000,36.000]",13.0,2,35.5,"[35.500,35.500]",18.75,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,1080.0,"[1080.000,1080.000]",1.742,2,270.0,"[270.000,270.000]",1.742,2,0.0145,"[0.015,0.015]",7.407,2,0.1381,"[0.138,0.138]",11.737,2,3803.0,"[3803.000,3803.000]",3.851,2,0.245,"[0.245,0.245]",2.441,2,81.905,"[81.905,81.905]",4.223,2,2.416,"[2.416,2.416]",6.483,2,0.3333,"[0.333,0.333]",5.282,2,36.0,"[36.000,36.000]",10.0,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,moonshotai/Kimi-K3,deep_thinking,kimi3_cc,2,38.0,"[38.000,38.000]",5.75,2,38.0,"[38.000,38.000]",10.5,2,38.0,"[38.000,38.000]",13.667,2,37.5,"[37.500,37.500]",19.75,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,1140.0,"[1140.000,1140.000]",1.783,2,285.0,"[285.000,285.000]",1.783,2,0.0151,"[0.015,0.015]",7.669,2,0.1436,"[0.144,0.144]",12.167,2,4291.0,"[4291.000,4291.000]",4.217,2,0.27,"[0.270,0.270]",2.588,2,115.29,"[115.290,115.290]",5.536,2,2.5621,"[2.562,2.562]",6.814,2,0.3942,"[0.394,0.394]",6.065,2,38.0,"[38.000,38.000]",10.5,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,moonshotai/Kimi-K3,multiple_approaches,kimi3_cc,3,37.0,"[37.000,37.000]",5.625,2,37.0,"[37.000,37.000]",10.25,2,37.0,"[37.000,37.000]",13.333,2,36.0,"[36.000,36.000]",19.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,1183.5,"[1183.500,1183.500]",1.813,2,296.0,"[296.000,296.000]",1.813,2,0.015,"[0.015,0.015]",7.622,2,0.1423,"[0.142,0.142]",12.061,2,5052.5,"[5052.500,5052.500]",4.787,2,0.275,"[0.275,0.275]",2.618,2,183.275,"[183.275,183.275]",8.211,2,2.6586,"[2.659,2.659]",7.033,2,0.3866,"[0.387,0.387]",5.967,2,36.5,"[36.500,36.500]",10.125,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,holdout_cc,3,42.0,"[42.000,42.000]",2.105,3,30.0,"[30.000,30.000]",1.968,3,30.0,"[30.000,30.000]",1.968,3,25.0,"[25.000,25.000]",2.042,3,4.0,"[4.000,4.000]",5.0,3,0.0,"[0.000,0.000]",,3,0.0,"[0.000,0.000]",,3,0.0,"[0.000,0.000]",1.0,3,1888.0,"[1888.000,1888.000]",1.773,3,472.0,"[472.000,472.000]",1.774,3,0.0191,"[0.019,0.019]",3.384,3,0.0566,"[0.057,0.057]",3.429,3,3312.0,"[3312.000,3312.000]",1.939,3,0.145,"[0.145,0.145]",1.176,3,47.49,"[47.490,47.490]",1.533,3,0.5987,"[0.599,0.599]",2.214,3,0.3907,"[0.391,0.391]",2.034,3,7.0,"[7.000,7.000]",1.28,3,6.0,"[6.000,6.000]",2.2,3,0.0,"[0.000,0.000]",,3,2.0,"[2.000,2.000]",3.0,3,0.0,"[0.000,0.000]",1.0,3,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,pilot_b,2,24.5,"[24.500,24.500]",3.333,2,23.0,"[23.000,23.000]",4.538,2,23.0,"[23.000,23.000]",5.182,2,11.0,"[11.000,11.000]",4.667,2,0.5,"[0.500,0.500]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.5,"[0.500,0.500]",2.0,2,785.5,"[785.500,785.500]",1.616,2,196.5,"[196.500,196.500]",1.616,2,0.0048,"[0.005,0.005]",3.764,2,0.0141,"[0.014,0.014]",3.934,2,1968.0,"[1968.000,1968.000]",2.578,2,0.295,"[0.295,0.295]",2.475,2,31.335,"[31.335,31.335]",2.602,2,0.3091,"[0.309,0.309]",3.205,2,0.2341,"[0.234,0.234]",3.119,2,9.0,"[9.000,9.000]",3.25,2,1.5,"[1.500,1.500]",1.75,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,bounded_efficiency,screening_cc,10,-16.0,"[-38.000,78.000]",0.476,8,-12.5,"[-33.000,68.000]",0.136,8,-12.0,"[-32.500,67.000]",0.116,8,-9.0,"[-24.000,54.000]",0.123,8,-0.25,"[-3.000,0.000]",0.0,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,-0.75,"[-2.000,0.500]",0.5,8,-1639.25,"[-24998.000,3960.000]",0.253,8,-409.75,"[-6250.000,990.000]",0.253,8,-0.0116,"[-0.095,0.037]",0.167,8,-0.0342,"[-0.278,0.109]",0.168,8,-6206.75,"[-117622.000,6259.000]",0.041,8,-0.3525,"[-30.280,0.800]",0.092,8,-58.365,"[-103.815,114.340]",0.215,8,-0.2005,"[-0.535,1.087]",0.465,8,-0.1553,"[-0.381,0.772]",0.471,8,-11.5,"[-31.500,66.000]",0.162,8,-1.0,"[-5.000,2.000]",0.583,8,0.0,"[0.000,0.000]",,8,-1.75,"[-2.000,1.000]",0.0,8,0.0,"[-1.000,1.000]",0.25,8,0.626,1.0,0.626,1.0,1.0,0.7508,0.626
claude-code,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,holdout_cc,3,42.0,"[42.000,42.000]",2.105,3,32.0,"[32.000,32.000]",2.032,3,32.0,"[32.000,32.000]",2.032,3,21.0,"[21.000,21.000]",1.875,3,5.0,"[5.000,5.000]",6.0,3,0.0,"[0.000,0.000]",,3,0.0,"[0.000,0.000]",,3,-1.0,"[-1.000,-1.000]",0.667,3,1860.0,"[1860.000,1860.000]",1.762,3,466.0,"[466.000,466.000]",1.764,3,0.0216,"[0.022,0.022]",3.697,3,0.0642,"[0.064,0.064]",3.758,3,3258.0,"[3258.000,3258.000]",1.923,3,0.135,"[0.135,0.135]",1.164,3,43.86,"[43.860,43.860]",1.492,3,0.6076,"[0.608,0.608]",2.232,3,0.3984,"[0.398,0.398]",2.055,3,18.0,"[18.000,18.000]",1.72,3,4.0,"[4.000,4.000]",1.8,3,0.0,"[0.000,0.000]",,3,3.0,"[3.000,3.000]",4.0,3,1.0,"[1.000,1.000]",2.0,3,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,pilot_b,2,29.5,"[29.500,29.500]",3.81,2,27.5,"[27.500,27.500]",5.231,2,27.5,"[27.500,27.500]",6.0,2,22.5,"[22.500,22.500]",8.5,2,1.0,"[1.000,1.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,1.5,"[1.500,1.500]",4.0,2,1273.0,"[1273.000,1273.000]",1.998,2,318.5,"[318.500,318.500]",1.998,2,0.0086,"[0.009,0.009]",5.994,2,0.0255,"[0.025,0.025]",6.312,2,2483.0,"[2483.000,2483.000]",2.99,2,0.355,"[0.355,0.355]",2.775,2,50.235,"[50.235,50.235]",3.568,2,0.3752,"[0.375,0.375]",3.677,2,0.2862,"[0.286,0.286]",3.59,2,14.5,"[14.500,14.500]",4.625,2,3.0,"[3.000,3.000]",2.5,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,deep_thinking,screening_cc,10,2.0,"[-16.500,36.250]",1.185,8,4.25,"[-11.750,29.000]",0.85,8,3.5,"[-12.000,29.000]",0.839,8,3.0,"[-9.000,23.000]",0.889,8,-0.25,"[-1.000,2.000]",0.167,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,-0.75,"[-1.000,-0.500]",0.5,8,-90.75,"[-25329.000,3793.000]",0.989,8,-22.25,"[-6332.000,948.000]",0.99,8,-0.0036,"[-0.099,0.025]",0.739,8,-0.0107,"[-0.289,0.073]",0.734,8,-4220.75,"[-117809.000,6224.000]",0.171,8,0.0025,"[-30.190,0.680]",1.041,8,-5.055,"[-56.975,65.455]",0.924,8,0.0447,"[-0.195,0.466]",1.206,8,0.0384,"[-0.143,0.342]",1.2,8,4.75,"[-10.750,29.250]",0.868,8,-0.5,"[-4.000,5.000]",0.833,8,0.0,"[0.000,1.000]",,8,-0.25,"[-1.000,1.250]",0.708,8,0.0,"[0.000,1.000]",1.0,8,1.0,1.0,0.7556,0.2447,1.0,1.0,1.0
claude-code,nvidia/nemotron-3-ultra-550b-a55b,exhaustive_exploration,pilot_b,2,32.0,"[32.000,32.000]",4.048,2,25.0,"[25.000,25.000]",4.846,2,25.5,"[25.500,25.500]",5.636,2,21.0,"[21.000,21.000]",8.0,2,1.5,"[1.500,1.500]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,1.5,"[1.500,1.500]",4.0,2,4168.5,"[4168.500,4168.500]",4.267,2,1042.5,"[1042.500,1042.500]",4.268,2,0.019,"[0.019,0.019]",12.013,2,0.0557,"[0.056,0.056]",12.628,2,52626.5,"[52626.500,52626.500]",43.186,2,11.035,"[11.035,11.035]",56.175,2,45.555,"[45.555,45.555]",3.328,2,0.3622,"[0.362,0.362]",3.584,2,0.2841,"[0.284,0.284]",3.571,2,14.5,"[14.500,14.500]",4.625,2,4.0,"[4.000,4.000]",3.0,2,1.0,"[1.000,1.000]",,2,1.0,"[1.000,1.000]",2.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,exhaustive_exploration,screening_cc,10,-3.0,"[-27.500,57.000]",0.852,9,-5.0,"[-25.000,51.000]",0.286,9,-6.0,"[-25.000,50.000]",0.265,9,-2.0,"[-18.000,49.000]",0.432,9,0.0,"[-0.500,0.500]",0.333,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,-0.5,"[-1.000,0.000]",0.5,9,-250.0,"[-1162.500,2926.000]",0.645,9,-62.5,"[-290.500,732.000]",0.646,9,-0.0003,"[-0.014,0.021]",0.569,9,-0.001,"[-0.041,0.061]",0.574,9,-1901.5,"[-7917.000,4764.000]",0.418,9,-0.095,"[-0.205,0.710]",0.564,9,-2.32,"[-33.440,115.470]",0.843,9,-0.0239,"[-0.405,0.771]",0.754,9,-0.0193,"[-0.282,0.587]",0.829,9,-4.0,"[-23.500,51.000]",0.299,9,0.0,"[-1.000,2.000]",1.0,9,1.0,"[1.000,1.000]",,9,-0.5,"[-2.000,1.000]",0.0,9,0.0,"[-0.500,1.000]",1.0,9,0.6262,1.0,0.6262,0.6162,1.0,0.6262,0.6262
claude-code,nvidia/nemotron-3-ultra-550b-a55b,goal_only,pilot_b,2,-8.5,"[-8.500,-8.500]",0.19,2,-6.5,"[-6.500,-6.500]",0.0,2,-5.5,"[-5.500,-5.500]",0.0,2,-3.0,"[-3.000,-3.000]",0.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,-0.5,"[-0.500,-0.500]",0.0,2,-848.0,"[-848.000,-848.000]",0.335,2,-212.0,"[-212.000,-212.000]",0.335,2,-0.0016,"[-0.002,-0.002]",0.086,2,-0.0045,"[-0.004,-0.004]",0.066,2,-936.5,"[-936.500,-936.500]",0.249,2,-0.17,"[-0.170,-0.170]",0.15,2,-14.26,"[-14.260,-14.260]",0.271,2,-0.105,"[-0.105,-0.105]",0.251,2,-0.0785,"[-0.078,-0.078]",0.29,2,-4.0,"[-4.000,-4.000]",0.0,2,-1.0,"[-1.000,-1.000]",0.5,2,0.0,"[0.000,0.000]",,2,-1.0,"[-1.000,-1.000]",0.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,max_certainty,holdout_cc,2,42.0,"[42.000,42.000]",2.105,2,29.0,"[29.000,29.000]",1.935,2,29.0,"[29.000,29.000]",1.935,2,20.5,"[20.500,20.500]",1.854,2,5.5,"[5.500,5.500]",6.5,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,-0.5,"[-0.500,-0.500]",0.833,2,1931.0,"[1931.000,1931.000]",1.791,2,483.0,"[483.000,483.000]",1.792,2,0.0211,"[0.021,0.021]",3.634,2,0.0627,"[0.063,0.063]",3.692,2,3328.0,"[3328.000,3328.000]",1.943,2,0.29,"[0.290,0.290]",1.352,2,42.845,"[42.845,42.845]",1.481,2,0.6042,"[0.604,0.604]",2.225,2,0.4152,"[0.415,0.415]",2.099,2,17.0,"[17.000,17.000]",1.68,2,5.0,"[5.000,5.000]",2.0,2,0.0,"[0.000,0.000]",,2,4.0,"[4.000,4.000]",5.0,2,1.0,"[1.000,1.000]",2.0,2,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,multiple_approaches,holdout_cc,3,1.0,"[1.000,1.000]",1.026,3,0.0,"[0.000,0.000]",1.0,3,-1.0,"[-1.000,-1.000]",0.968,3,-1.0,"[-1.000,-1.000]",0.958,3,0.0,"[0.000,0.000]",1.0,3,0.0,"[0.000,0.000]",,3,0.0,"[0.000,0.000]",,3,-1.0,"[-1.000,-1.000]",0.667,3,379.0,"[379.000,379.000]",1.155,3,95.0,"[95.000,95.000]",1.156,3,0.002,"[0.002,0.002]",1.25,3,0.0059,"[0.006,0.006]",1.253,3,351.0,"[351.000,351.000]",1.099,3,-0.255,"[-0.255,-0.255]",0.691,3,-32.25,"[-32.250,-32.250]",0.638,3,0.0088,"[0.009,0.009]",1.018,3,0.0088,"[0.009,0.009]",1.023,3,-5.0,"[-5.000,-5.000]",0.8,3,-1.0,"[-1.000,-1.000]",0.8,3,0.0,"[0.000,0.000]",,3,2.0,"[2.000,2.000]",3.0,3,0.0,"[0.000,0.000]",1.0,3,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,no_questions_autonomy,pilot_b,2,23.5,"[23.500,23.500]",3.238,2,21.5,"[21.500,21.500]",4.308,2,21.5,"[21.500,21.500]",4.909,2,15.5,"[15.500,15.500]",6.167,2,0.5,"[0.500,0.500]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,1.0,"[1.000,1.000]",3.0,2,1059.5,"[1059.500,1059.500]",1.83,2,265.0,"[265.000,265.000]",1.831,2,0.0058,"[0.006,0.006]",4.35,2,0.017,"[0.017,0.017]",4.55,2,2053.0,"[2053.000,2053.000]",2.646,2,0.255,"[0.255,0.255]",2.275,2,30.92,"[30.920,30.920]",2.58,2,0.2989,"[0.299,0.299]",3.133,2,0.2271,"[0.227,0.227]",3.055,2,10.0,"[10.000,10.000]",3.5,2,2.0,"[2.000,2.000]",2.0,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",1.0,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,nvidia/nemotron-3-ultra-550b-a55b,no_questions_autonomy,screening_cc,9,-13.75,"[-34.000,52.000]",0.682,8,-12.5,"[-28.000,41.500]",0.5,8,-12.25,"[-29.000,41.000]",0.5,8,-8.0,"[-23.000,31.000]",0.51,8,-0.25,"[-2.000,3.000]",0.0,8,0.0,"[0.000,0.000]",,8,0.0,"[0.000,0.000]",,8,-0.75,"[-2.000,-0.500]",0.5,8,-520.25,"[-26029.000,4257.000]",0.746,8,-130.0,"[-6507.000,1064.000]",0.746,8,-0.0066,"[-0.113,0.035]",0.379,8,-0.0197,"[-0.332,0.103]",0.328,8,-2511.5,"[-119595.000,6399.000]",0.376,8,-0.145,"[-30.340,0.890]",0.396,8,-21.585,"[-41.840,118.110]",0.716,8,-0.1959,"[-0.449,0.536]",0.648,8,-0.1366,"[-0.296,0.403]",0.657,8,-11.5,"[-23.000,39.500]",0.429,8,-0.75,"[-4.000,5.000]",0.733,8,0.0,"[0.000,0.500]",,8,-0.25,"[-0.500,2.000]",0.667,8,0.5,"[0.000,1.000]",1.5,8,1.0,1.0,1.0,0.2552,1.0,1.0,1.0
claude-code,nvidia/nemotron-3-ultra-550b-a55b,scoped_authorization,pilot_b,2,3.5,"[3.500,3.500]",1.333,2,4.0,"[4.000,4.000]",1.615,2,4.5,"[4.500,4.500]",1.818,2,2.5,"[2.500,2.500]",1.833,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.0,"[0.000,0.000]",,2,0.5,"[0.500,0.500]",2.0,2,-29.5,"[-29.500,-29.500]",0.977,2,-7.5,"[-7.500,-7.500]",0.976,2,0.0001,"[0.000,0.000]",1.069,2,0.0004,"[0.000,0.000]",1.076,2,212.5,"[212.500,212.500]",1.17,2,0.015,"[0.015,0.015]",1.075,2,0.645,"[0.645,0.645]",1.033,2,0.0434,"[0.043,0.043]",1.31,2,0.0325,"[0.032,0.032]",1.294,2,1.0,"[1.000,1.000]",1.25,2,0.5,"[0.500,0.500]",1.25,2,0.0,"[0.000,0.000]",,2,-0.5,"[-0.500,-0.500]",0.5,2,0.0,"[0.000,0.000]",1.0,2,,,,,,,
claude-code,thinkingmachines/Inkling,adjacent_cleanup,holdout_cc,9,5.0,"[4.000,8.000]",1.727,9,2.0,"[1.000,3.000]",1.333,9,2.0,"[1.000,3.000]",1.333,9,1.0,"[0.000,4.000]",2.0,9,2.0,"[1.000,3.000]",2.0,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,1.0,"[0.000,1.000]",2.0,9,1050.0,"[932.000,1801.000]",1.638,9,263.0,"[233.000,450.000]",1.637,9,0.0017,"[0.002,0.005]",2.487,9,0.0089,"[0.009,0.026]",2.766,9,599.0,"[565.000,743.000]",1.573,9,0.11,"[0.100,0.160]",1.615,9,11.44,"[5.050,38.380]",1.539,9,0.1102,"[0.092,0.169]",1.755,9,0.0272,"[0.018,0.032]",1.36,9,4.0,"[0.000,6.000]",1.8,9,3.0,"[2.000,4.000]",1.667,9,0.0,"[0.000,0.000]",,9,1.0,"[0.000,1.000]",1.0,9,0.0,"[0.000,0.000]",1.0,9,0.4985,1.0,0.5016,0.4985,1.0,0.5016,0.5016
claude-code,thinkingmachines/Inkling,bounded_efficiency,holdout_cc,9,-1.0,"[-7.000,0.000]",0.909,9,0.0,"[-1.000,0.000]",1.0,9,0.0,"[-1.000,1.000]",1.0,9,0.0,"[-1.000,1.000]",1.0,9,0.0,"[-1.000,0.000]",0.0,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",1.0,9,-30.0,"[-107.000,643.000]",0.978,9,-7.0,"[-27.000,161.000]",0.977,9,-0.0,"[-0.000,0.000]",0.974,9,-0.0001,"[-0.000,0.000]",0.969,9,-30.0,"[-328.000,33.000]",0.982,9,-0.02,"[-0.090,0.000]",0.846,9,-0.35,"[-3.650,2.270]",0.986,9,-0.0174,"[-0.052,0.001]",0.9,9,-0.0036,"[-0.010,0.001]",0.929,9,1.0,"[-1.000,2.000]",1.333,9,0.0,"[-2.000,0.000]",1.0,9,0.0,"[0.000,0.000]",,9,0.0,"[0.000,0.000]",1.0,9,0.0,"[-1.000,0.000]",1.0,9,0.5016,1.0,1.0,1.0,1.0,1.0,0.5016
claude-code,thinkingmachines/Inkling,bounded_efficiency,pilot_b,5,0.0,"[-4.000,8.000]",1.0,5,-1.0,"[-3.000,4.000]",0.8,5,-0.5,"[-2.000,4.000]",0.889,5,-1.5,"[-2.000,1.500]",0.4,5,0.0,"[0.000,1.000]",3.0,5,0.0,"[0.000,0.000]",,5,0.0,"[0.000,0.000]",,5,0.0,"[0.000,1.000]",2.0,5,271.0,"[-103.000,1522.000]",1.317,5,68.5,"[-25.000,380.000]",1.321,5,0.0002,"[-0.001,0.005]",1.29,5,0.0011,"[-0.005,0.026]",1.282,5,77.5,"[-305.000,721.000]",1.124,5,0.02,"[-0.060,0.120]",1.133,5,3.22,"[-11.130,12.450]",1.278,5,-0.0161,"[-0.072,0.145]",0.898,5,-0.0023,"[-0.014,0.028]",0.96,5,-0.5,"[-2.000,3.000]",0.857,5,0.0,"[-0.500,2.500]",1.0,5,0.0,"[0.000,0.000]",,5,0.0,"[-1.000,0.500]",1.0,5,0.0,"[0.000,0.500]",1.0,5,1.0,1.0,0.4985,1.0,1.0,1.0,1.0
